size;Naive1;Naive2;ThreadPool;parallel_for
1;1;1;162;2
2;2;1;34;72
3;2;2;43;4
4;4;3;76;9
5;5;5;70;14
6;7;8;89;22
7;11;12;107;32
8;15;18;143;38
9;21;25;141;49
10;31;33;175;59
11;39;30;178;73
12;50;57;173;75
13;69;69;216;84
14;77;85;239;99
15;85;103;229;134
16;118;102;242;136
17;131;146;273;138
18;161;97;299;163
19;188;195;312;190
20;208;259;383;177
21;212;152;390;185
22;229;222;703;236
23;238;223;1049;225
24;249;229;1394;240
25;425;477;2317;260
26;312;294;1089;296
27;499;360;565;303
28;402;366;3439;381
29;593;410;655;386
30;700;467;772;407
31;798;556;3098;448
32;539;551;3647;445
33;633;596;3344;459
34;692;810;4380;506
35;793;765;2873;535
36;828;888;2451;530
37;894;902;2939;588
38;970;982;2989;603
39;1090;1049;2502;654
40;1131;1135;1493;719
41;1285;1281;4387;792
42;1297;1352;4230;794
43;1368;1450;2486;862
44;1617;2698;5232;1075
45;2158;1645;3987;1015
46;1667;1650;5292;1089
47;1776;1756;4009;1276
48;1949;2327;2581;1198
49;1940;1994;5216;1187
50;2442;2110;4550;1243
51;2246;2680;6719;1847
52;3434;3244;6470;1731
53;2516;2616;2612;1567
54;2999;3053;3384;1673
55;3571;3128;2824;1667
56;3316;3188;3180;1835
57;3593;3313;3413;1830
58;3446;3720;3378;1754
59;3532;3596;3069;1789
60;3742;4122;3531;1816
61;4049;3998;3552;1933
62;4160;4125;3509;2015
63;4265;4455;3723;2112
64;5282;4515;4382;2252
65;4615;4598;4382;2284
66;5168;5059;5760;3134
67;7843;6043;4693;2470
68;5574;5637;4794;3291
69;6268;5818;4703;2712
70;5891;6044;4972;2889
71;5967;7119;5181;3458
72;6651;6399;5228;3330
73;6628;7126;5856;3394
74;7084;7095;5552;3316
75;7230;7385;5791;3918
76;7529;7625;5809;3715
77;7496;7726;6114;4116
78;8315;8323;6168;4121
79;7945;8448;6588;4482
80;8791;8656;6587;4396
81;9483;11412;7574;5547
82;13674;11300;7595;6424
83;11549;11520;7692;4853
84;10256;10180;7093;4989
85;10453;10521;7675;6158
86;12132;13192;8214;5899
87;12289;12202;7688;5759
88;12539;12341;7762;5849
89;12299;12373;8116;6223
90;12720;12397;8317;6064
91;13175;14542;8543;6380
92;13116;13576;8663;6884
93;13833;13498;9126;6954
94;13683;13865;9346;7351
95;14787;14672;9434;7475
96;14659;15052;9218;7739
97;16143;15214;9876;8232
98;16803;16151;10174;8415
99;17197;16401;10410;8662
100;17371;17252;10823;8875
101;17738;17137;11159;9312
102;19203;17868;11356;9547
103;18858;18743;11607;9834
104;19126;19262;11909;9940
105;20221;19692;12582;10431
106;20581;20518;13132;10462
107;20828;20863;12913;11160
108;21706;21152;13118;11383
109;22752;22001;13642;11850
110;22462;22251;14192;11823
111;23525;23678;14083;11985
112;24327;23469;14506;12157
113;25097;23864;15095;12687
114;25578;25508;14870;12867
115;26659;25569;15376;13028
116;26529;27386;15555;13395
117;28420;27086;15979;13610
118;28015;27852;16225;13230
119;29393;29212;16582;14262
120;29402;29811;16863;14447
121;31253;29261;18539;14754
122;31248;30985;17764;14954
123;31557;32698;18310;15104
124;33700;32990;18251;15709
125;36138;34660;20914;15663
126;38031;34312;19870;15778
127;35376;36679;20703;16599
128;39146;39012;21361;17593
129;37540;37732;20993;19056
130;39586;38078;20710;17637
131;38795;38679;21146;18003
132;39386;38969;21466;18396
133;39875;39798;22134;18015
134;41212;40450;22868;18811
135;42680;41413;23143;19426
136;43522;42502;23367;19036
137;42951;44996;24169;20521
138;45086;44826;24282;21724
139;46916;49784;27799;21963
140;47780;48833;25222;21087
141;47826;49337;27065;21442
142;49316;50398;27348;24899
143;60347;61707;26769;21845
144;50656;49975;28457;21159
145;53391;52178;27597;22998
146;54402;53912;27774;23913
147;53769;60089;39722;31318
148;59007;56861;31456;28302
149;64027;59295;33131;29474
150;62811;63324;32511;26836
151;62972;63927;31037;25672
152;61333;61070;31048;26250
153;63096;62268;32139;28236
154;64645;65782;33016;27055
155;65137;66182;33454;26736
156;66518;67830;34487;27723
157;66618;65923;34910;29398
158;73194;72560;35512;29277
159;74119;72032;36167;30337
160;75720;71071;35984;30287
161;74345;73433;36918;30645
162;76244;74407;37339;30669
163;77188;91150;43377;38380
164;80767;77129;38406;32755
165;79788;81156;39018;33185
166;79434;81760;40906;33990
167;81882;80013;42126;34231
168;82058;83268;41372;34674
169;82341;84136;43636;35057
170;82366;83635;42013;35398
171;88190;86055;42704;35810
172;87987;86138;43052;36287
173;88744;88351;44330;38423
174;91149;90220;45568;38451
175;91220;94029;45562;38372
176;93095;93617;47441;39371
177;96846;95662;47646;41248
178;98783;97763;48369;40235
179;100329;97642;48392;41221
180;102198;98005;50694;44248
181;103742;101024;50646;42315
182;103408;103686;51045;43623
183;105459;105346;51544;43256
184;106170;104566;51861;45079
185;112766;109938;53691;46130
186;115014;114739;54729;47414
187;115954;113374;55659;48681
188;121147;116658;55931;48084
189;118105;118393;56849;49635
190;117648;118328;57445;49768
191;120851;119904;59602;50103
192;132824;122581;59367;50376
193;122432;121251;60143;51764
194;126407;123453;60590;52369
195;130338;128511;61601;52284
196;131671;129438;62617;53906
197;134977;132153;64052;55219
198;132906;132406;65018;54864
199;135102;134163;65293;56771
200;137738;135963;65830;56614
201;139770;139244;67422;58899
202;144383;140145;68522;58469
203;142159;144555;70077;59490
204;146669;146596;70033;60482
205;156014;148178;71712;60697
206;151395;150373;72578;61841
207;153560;151277;73965;63395
208;152283;152981;74680;63151
209;156511;155706;75516;64991
210;161837;159897;77408;66396
211;163812;160497;78229;64798
212;163978;164250;78697;67123
213;165632;166501;79518;68268
214;166346;168965;81035;70461
215;172611;168084;81855;70150
216;172269;171038;81930;72342
217;178443;175381;83360;72726
218;180604;176820;86961;73084
219;179428;178913;86408;74841
220;185598;182853;86844;74734
221;188101;184848;90107;76351
222;189806;188138;90211;77608
223;191967;190865;92153;86571
224;201947;191158;91653;81851
225;197340;195660;95233;80384
226;199916;196079;94240;79807
227;202813;201401;95449;82209
228;207053;202012;96150;83830
229;214674;204703;98429;86755
230;210874;206248;99831;85664
231;213077;211271;100287;87981
232;218978;214189;102038;86919
233;223109;216426;102135;89229
234;224690;217321;103714;91953
235;228105;221386;105556;90536
236;228051;227011;106143;93623
237;231250;228269;108112;93785
238;237295;228903;109103;95483
239;241632;232721;110483;96757
240;247984;237166;111785;97619
241;267406;240995;113165;97713
242;245287;243835;115229;98650
243;247849;246352;116663;102517
244;253895;248361;117235;102013
245;257320;253024;118497;103765
246;260195;259053;120323;106286
247;263513;255879;121285;107928
248;262598;263262;121796;107262
249;274671;263151;124133;110292
250;273911;267307;127350;110137
251;277527;272377;126279;112938
252;283651;270285;128106;112259
253;286001;272719;131482;115416
254;289764;279570;131775;114801
255;291014;284497;133265;116661
256;347409;293286;137331;121359
257;329889;295865;138871;126082
258;356953;332685;146438;135485
259;338242;304991;139588;129280
260;324971;313128;141099;127317
261;325407;302661;144719;126968
262;326919;314717;149342;129244
263;346714;321763;145187;127817
264;326204;313493;147823;131293
265;335696;315751;149987;131040
266;338571;323131;151452;134381
267;344863;324108;151827;135428
268;344185;329890;153498;135397
269;357700;335829;156872;139110
270;355646;332908;156995;138761
271;373299;340787;159086;139956
272;357087;343322;160518;143502
273;418279;347932;163278;142985
274;380374;348699;168014;146045
275;388693;355523;167607;146448
276;389454;358814;170280;146044
277;397601;366432;168990;150054
278;397999;369913;172509;149013
279;415417;378029;172043;153294
280;397579;374210;175001;152663
281;415253;379313;178146;155712
282;424167;382827;178928;158155
283;429355;382076;185376;157376
284;428735;389298;180940;159479
285;445583;397424;185284;161895
286;436864;400600;186158;161884
287;451001;405653;190466;166323
288;484638;409384;192689;172190
289;467711;412288;193659;167254
290;467026;415553;196545;171077
291;476847;420201;197833;177444
292;470106;424029;200080;177007
293;492027;429705;201868;175925
294;488831;452933;203708;182914
295;505235;439163;207784;181966
296;480422;444441;211123;182819
297;513491;443568;207656;185366
298;514997;450698;210764;185951
299;520830;459741;214411;188566
300;505107;464259;216327;191474